keys,zh_CN,en
EDITOR_STATUS_IDLE,地图编辑器,Map Editor
EDITOR_STATUS_TERRAIN_BRUSH,当前：地形编辑器 / 地表笔刷（左键绘制）,Current: Terrain Editor / Ground Brush (LMB paint)
EDITOR_STATUS_ABOUT,%s — Godot 复刻竖切,%s — Godot remake slice
EDITOR_STATUS_NOT_IMPLEMENTED,尚未实现：%s,Not implemented: %s
EDITOR_STATUS_MAP_CREATED,已新建 %dx%d · %s,Created %dx%d · %s
EDITOR_STATUS_DOODAD_BRUSH,当前：装饰物笔刷（半格吸附；Esc 取消预览；R/[ ]/Ctrl+滚轮旋转；Delete 删除）,Current: Doodad brush (half-tile snap; Esc clears preview; R/[ ]/Ctrl+wheel rotate; Delete)
EDITOR_STATUS_DOODAD_SELECTED,已选装饰物：%s [%s],Selected doodad: %s [%s]
EDITOR_STATUS_DOODAD_PLACED,已放置 %d 个：%s,Placed %d: %s
EDITOR_STATUS_DOODAD_PICKED,已选中地图装饰物 #%d,Selected map doodad #%d
EDITOR_STATUS_DOODAD_DELETED,已删除 %d 个装饰物,Deleted %d doodad(s)
EDITOR_INSPECT_TITLE,导航 / 预览,Navigator / Preview
EDITOR_MINIMAP_SHOW_BUILDINGS,显示中立建筑图标,Show neutral building icons
EDITOR_MINIMAP_SHOW_UNITS,显示中立生物图标,Show neutral unit icons
EDITOR_MINIMAP_SHOW_VIEWPORT,显示当前视口范围,Show viewport frame
EDITOR_MINIMAP_GAME_PREVIEW,察看游戏小地图,Show game minimap preview
EDITOR_PREVIEW_EMPTY,（未选择装饰物）,No doodad selected
EDITOR_PREVIEW_RANDOM_VAR,放置随机样式,Place random variation
EDITOR_PREVIEW_VARIATION,样式 (%d / %d),Variation (%d / %d)
EDITOR_PREVIEW_DISTANCE,距离,Distance
EDITOR_PREVIEW_ANGLE,朝向,Facing
EDITOR_PREVIEW_FACING,朝向,Facing
EDITOR_PREVIEW_FACING_CCW,逆时针 45°,Facing −45°
EDITOR_PREVIEW_FACING_CW,顺时针 45°,Facing +45°
EDITOR_PREVIEW_ORBIT_HINT,左键拖拽环视（仅观察，不改放置朝向）/ 滚轮缩放,LMB orbit view only (does not change facing) / wheel zoom
EDITOR_PREVIEW_ANIM,动画,Animation
EDITOR_PREVIEW_ANIM_PREV,上一个动画,Previous animation
EDITOR_PREVIEW_ANIM_NEXT,下一个动画,Next animation
EDITOR_PREVIEW_ANIM_STAND,动画: stand,Anim: stand
EDITOR_PREVIEW_ANIM_NONE,（无动画）,No animation
EDITOR_PREVIEW_MISSING_MODEL,缺少模型 GLB,Missing model GLB
EDITOR_PREVIEW_LOADING,正在加载…,Loading…
EDITOR_DOODAD_LIST_EMPTY,无可用条目（检查 slk-exported）,No entries (check slk-exported)
EDITOR_DOODAD_RANDOM_VAR,放置时使用随机样式,Use random variation when placing
EDITOR_DOODAD_VAR_PREV,上一个样式,Previous variation
EDITOR_DOODAD_VAR_NEXT,下一个样式,Next variation
EDITOR_DOODAD_RAND_ROTATION,随机旋转角度,Random Rotation
EDITOR_DOODAD_RAND_SCALE_SYM,随机大小 - 对称,Random Scale - Symmetric
EDITOR_DOODAD_RAND_SCALE_Z,随机大小 - Z轴（高度）,Random Scale - Z Axis (height)
EDITOR_DOODAD_RAND_SCALE_XY,随机大小 - XY面,Random Scale - XY Plane
WESTRING_DTYPE_PROPS,道具,Props
WESTRING_DTYPE_STRUCTURES,建筑,Structures
WESTRING_DTYPE_WATER,水,Water
WESTRING_DTYPE_CLIFF,悬崖/地形,Cliff / Terrain
WESTRING_DTYPE_ENVIRONMENT,环境,Environment
WESTRING_DTYPE_CINEMATIC,电影,Cinematic
WESTRING_DTYPE_DESTRUCTABLE,可破坏物,Destructible
WESTRING_DTYPE_PATHING,通行阻挡,Pathing Blocker
WESTRING_DTYPE_BRIDGE,桥梁,Bridge
EDITOR_HUD_STATUS,状态,Status
EDITOR_HUD_COORDS,坐标,Coords
EDITOR_HUD_BRUSH,笔刷,Brush
EDITOR_HUD_PROPS,属性,Props
EDITOR_HUD_BRUSH_TERRAIN,地表 · %s,Terrain · %s
EDITOR_HUD_BRUSH_DOODAD,装饰物 · %s [%s],Doodad · %s [%s]
EDITOR_HUD_PROPS_DOODAD,"样式 %d · 朝向 %d° · 比例 %.2f","Var %d · Facing %d° · Scale %.2f"
EDITOR_STATUS_OPEN_FAILED,打开失败：%s,Open failed: %s
EDITOR_STATUS_OPENED_MAP,已打开 %s（只编辑内存文档，不改磁盘）,Opened %s (in-memory only; disk unchanged)
EDITOR_OPENMAP_TITLE,打开地图,Open Map
EDITOR_OPENMAP_HINT,选择已解析的地图（assets/map-parsed）：,Select a parsed map (assets/map-parsed):
EDITOR_OPENMAP_EMPTY,未找到地图。请先用 tools/map-parse 导出。,No maps found. Run tools/map-parse first.
EDITOR_STATUS_SAVE_FAILED,保存失败,Save failed
EDITOR_STATUS_SAVED,已保存到 user://editor_maps/,Saved to user://editor_maps/
EDITOR_HOVER_CELL,"顶点 (%d, %d)","Vertex (%d, %d)"
EDITOR_HOVER_CELL_EMPTY,"顶点 (—, —)","Vertex (—, —)"
EDITOR_TOOLBAR_BRUSH,笔刷: %s,Brush: %s
EDITOR_TOOLBAR_BRUSH_EMPTY,笔刷: —,Brush: —
EDITOR_TOOLBAR_DIRTY,● 已修改,● Modified
EDITOR_PALETTE_TITLE,地表贴图,Ground Textures
EDITOR_PALETTE_PLACEHOLDER,尚未实现,Not implemented yet
EDITOR_PALETTE_PLACEHOLDER_KIND,%s（尚未实现）,%s (not implemented yet)
EDITOR_TILE_UNBUILDABLE_FMT,%s（%s）,%s (%s)
WESTRING_UNBUILDABLE,不可建造,Unbuildable
WESTRING_APPLYTEXTURE,应用纹理,Apply Texture
WESTRING_BLIGHT,荒芜之地,Blight
WESTRING_TILE_BOUNDARY,边界,Boundary
EDITOR_TILE_BOUNDARY_REMOVE,去除边界,Remove Boundary
WESTRING_APPLYCLIFF,应用悬崖,Apply Cliff
WESTRING_APPLYHEIGHT,应用高度,Apply Height
WESTRING_BRUSHSIZE,尺寸,Size
WESTRING_BRUSHSHAPE,形状,Shape
WESTRING_BRUSH_CIRCLE,圆形,Circle
WESTRING_BRUSH_SQUARE,正方形,Square
WESTRING_BRUSH_RAISE,升高地面,Raise
WESTRING_BRUSH_LOWER,降低地面,Lower
WESTRING_BRUSH_PLATEAU,整平地面,Plateau
WESTRING_BRUSH_NOISE,剧烈地形,Noise
WESTRING_BRUSH_SMOOTH,平滑地面,Smooth
WESTRING_BRUSH_CLIFFTYPE,悬崖类型,Cliff Type
WESTRING_DECTWO,降低两层,Decrease Two
WESTRING_DECONE,降低一层,Decrease One
WESTRING_SAMELEVEL,整平地面,Same Level
WESTRING_INCONE,升高一层,Increase One
WESTRING_INCTWO,升高两层,Increase Two
WESTRING_DEEPWATER,深水,Deep Water
WESTRING_BRUSH_RAMP,斜坡,Ramp
WESTRING_SHALLOWWATER,浅水,Shallow Water
WESTRING_NOTHINGTILE,边界,Boundary
WESTRING_REMOVENOTHINGTILE,去除边界,Remove Boundary
WESTRING_CLIFF_CLdi,泥土悬崖,Dirt Cliff
WESTRING_CLIFF_CLgr,草地悬崖,Grass Cliff
WESTRING_TEXTURE,纹理,Texture
EDITOR_NEWMAP_TITLE,创建新地图,Create New Map
EDITOR_NEWMAP_TERRAIN_SECTION,地形设置,Terrain Settings
EDITOR_NEWMAP_LABEL_COLON,%s:,%s:
EDITOR_NEWMAP_VALUE,%s: %s,%s: %s
EDITOR_NEWMAP_EMPTY,—,—
EDITOR_WATER_SHALLOW,浅水,Shallow Water
EDITOR_WATER_DEEP,深水,Deep Water
EDITOR_MENU_LANG_ZH,语言：中文,Language: Chinese
EDITOR_MENU_LANG_EN,语言：English,Language: English
WESTRING_MENU_FILE,文件(&F),File(&F)
WESTRING_MENU_NEW,创建新地图(&N)…,New Map(&N)…
WESTRING_MENU_OPEN,打开地图(&O)…,Open Map(&O)…
WESTRING_MENU_CLOSE,关闭地图(&C),Close Map(&C)
WESTRING_MENU_SAVE,保存地图(&S),Save Map(&S)
WESTRING_MENU_SAVEAS,地图另存为...(&A),Save Map As...(&A)
WESTRING_MENU_CALCSHADOWS,计算阴影(&H),Calculate Shadows(&H)
WESTRING_MENU_EXPORTSCRIPT,导出脚本(&E)…,Export Script(&E)…
